id,dbId
afghanistan,1
aland-islands,2
albania,3
algeria,4
american-samoa,5
andorra,6
angola,7
anguilla,8
antarctica,9
antigua-and-barbuda,10
argentina,11
armenia,12
aruba,13
australia,14
austria,15
azerbaijan,16
bahamas,17
bahrain,18
bangladesh,19
barbados,20
belarus,21
belgium,22
belize,23
benin,24
bermuda,25
bhutan,26
bolivia,27
bonaire,28
bosnia-and-herzegovina,29
botswana,30
bouvet-island,31
brazil,32
british-indian-ocean-territory,33
british-virgin-islands,34
brunei,35
bulgaria,36
burkina-faso,37
burundi,38
cambodia,39
cameroon,40
canada,41
cape-verde,42
cayman-islands,43
central-african-republic,44
chad,45
chile,46
china,47
christmas-island,48
cocos-keeling-islands,49
colombia,50
comoros,51
cook-islands,52
costa-rica,53
croatia,54
cuba,55
curacao,56
cyprus,57
czech-republic,58
democratic-republic-of-the-congo,59
denmark,60
djibouti,61
dominica,62
dominican-republic,63
east-timor,64
ecuador,65
egypt,66
el-salvador,67
equatorial-guinea,68
eritrea,69
estonia,70
ethiopia,71
falkland-islands,72
faroe-islands,73
federated-states-of-micronesia,74
fiji,75
finland,76
france,77
french-guiana,78
french-polynesia,79
french-southern-territories,80
gabon,81
gambia,82
georgia,83
germany,84
ghana,85
gibraltar,86
greece,87
greenland,88
grenada,89
guadeloupe,90
guam,91
guatemala,92
guernsey,93
guinea-bissau,94
guinea,95
guyana,96
haiti,97
heard-island-and-mcdonald-islands,98
honduras,99
hong-kong,100
hungary,101
iceland,102
india,103
indonesia,104
iran,105
iraq,106
ireland,107
isle-of-man,108
israel,109
italy,110
ivory-coast,111
jamaica,112
japan,113
jersey,114
jordan,115
kazakhstan,116
kenya,117
kiribati,118
kuwait,119
kyrgyzstan,120
laos,121
latvia,122
lebanon,123
lesotho,124
liberia,125
libya,126
liechtenstein,127
lithuania,128
luxembourg,129
macau,130
macedonia,131
madagascar,132
malawi,133
malaysia,134
maldives,135
mali,136
malta,137
marshall-islands,138
martinique,139
mauritania,140
mauritius,141
mayotte,142
mexico,143
moldova,144
monaco,145
mongolia,146
montenegro,147
montserrat,148
morocco,149
mozambique,150
myanmar,151
namibia,152
nauru,153
nepal,154
netherlands,155
new-caledonia,156
new-zealand,157
nicaragua,158
niger,159
nigeria,160
niue,161
norfolk-island,162
north-korea,163
northern-mariana-islands,164
norway,165
oman,166
pakistan,167
palau,168
palestine,169
panama,170
papua-new-guinea,171
paraguay,172
peru,173
philippines,174
pitcairn-islands,175
poland,176
portugal,177
puerto-rico,178
qatar,179
republic-of-the-congo,180
reunion,181
romania,182
russia,183
rwanda,184
saint-barthelemy,185
saint-helena-ascension-and-tristan-da-cunha,186
saint-kitts-and-nevis,187
saint-lucia,188
saint-martin,189
saint-pierre-and-miquelon,190
saint-vincent-and-the-grenadines,191
samoa,192
san-marino,193
sao-tome-and-principe,194
saudi-arabia,195
senegal,196
serbia,197
seychelles,198
sierra-leone,199
singapore,200
sint-maarten,201
slovakia,202
slovenia,203
solomon-islands,204
somalia,205
south-africa,206
south-georgia-and-the-south-sandwich-islands,207
south-korea,208
south-sudan,209
spain,210
sri-lanka,211
sudan,212
suriname,213
svalbard-and-jan-mayen,214
swaziland,215
sweden,216
switzerland,217
syria,218
taiwan,219
tajikistan,220
tanzania,221
thailand,222
togo,223
tokelau,224
tonga,225
trinidad-and-tobago,226
tunisia,227
turkey,228
turkmenistan,229
turks-and-caicos-islands,230
tuvalu,231
uganda,232
ukraine,233
united-arab-emirates,234
united-kingdom,235
united-states-minor-outlying-islands,236
united-states-of-america,237
united-states-virgin-islands,238
uruguay,239
uzbekistan,240
vanuatu,241
vatican-city,242
venezuela,243
vietnam,244
wallis-and-futuna,245
western-sahara,246
yemen,247
zambia,248
zimbabwe,249
